OTU	id	sample_location	sample_id	line_number	sample_type	date	time	temperature_C	Humidity	length_underground	length_superficial	length_elevated	length_total	elevation	station_hubs	train_track	train_notes	station_notes	geographical_zone	weather	stations_number	latitude	longitude	people_affluence	Observed	Chao1	Shannon	Simpson
Rosario_7	Rosario_7	Rosario	AM03	7	Torniquete	2029-04-16	12:40:00 PM	29.2	29	17.754	0	0	18	2257	Terminal_correspondencia	Neumatico	Independiente	Elevada	Norte	C1	14	19.505	-99.1797	3220719	11986	18521.13043	6.718173913	0.989251003
Merced_1	Merced_1	Merced	AM23	1	Torniquete	2029-04-16	02:30:00 PM	31.4	30	16.786	0	0	18	2231	Paso	Neumatico	Independiente	Superficial	Centro	B1	20	19.42579	-99.12501	4377638	10129	14588.96493	6.023258013	0.937075861
Deportivo_18_de_marzo_3	Deportivo_18_de_marzo_3	Deportivo_18_de_marzo	AM17	3	Torniquete	02/05/16	02:07:00 PM	30.7	26	18.145	4.449	0	23	2240	Correspondecia	Neumatico	Independiente	Cajon_subterraneo	Norte	C1	21	19.48635	-99.12493	3152077	16179	22648.82739	7.147670365	0.991464196
Indios_verdes_3	Indios_verdes_3	Indios_verdes	AM01	3	Torniquete	02/05/16	02:23:00 PM	30.4	27	18.145	4.449	0	23	2240	Terminal	Neumatico	Independiente	Cajon_subterraneo	Norte	C1	21	19.4955	-99.1194	10176457	12677	19699.21927	7.160039497	0.992155596
Instituto_del_petroleo_5	Instituto_del_petroleo_5	Instituto_del_petroleo	AM02	5	Torniquete	2029-04-16	01:17:00 PM	28.3	30	4.951	10.724	0	16	2244	Correspondecia	Neumatico	Independiente	Cajon_subterraneo	Norte	C1	13	19.489	-99.1448	499350	10722	16496.38113	6.417884587	0.989012024
Observatorio_1	Observatorio_1	Observatorio	AM06	1	Torniquete	04/05/16	02:35:00 PM	32.2	28	16.786	0	0	18	2303	Terminal	Neumatico	Independiente	Elevada	Poniente	C2	20	19.3985	-99.19978	6489055	10523	17035.5115	6.437592116	0.985903208
Barranca_del_muerto_7	Barranca_del_muerto_7	Barranca_del_muerto	AM07	7	Torniquete	2027-04-16	12:20:00 PM	28.6	28	17.754	0	0	18	2288	Terminal	Neumatico	Independiente	Tunel	Sur	C2	14	19.36168	-99.18882	3347042	7810	11643.92566	6.503180567	0.993749529
Universidad_3	Universidad_3	Universidad	AM08	3	Torniquete	2027-04-16	11:44:00 AM	28.6	31	18.145	4.449	0	23	2278	Terminal	Neumatico	Independiente	Elevada	Sur	C2	21	19.3244	-99.17334	6353423	13365	19368.05662	6.863281339	0.977041363
Tasqueͱa_2	Tasqueͱa_2	Tasqueͱa	AM09	2	Torniquete	2027-04-16	10:50:00 AM	25.9	38	12.55	9.456	0	22	2246	Terminal	Neumatico	Oruga	Elevada	Sur	C1	24	19.3439	-99.139	6856836	6755	10879.89628	6.235385912	0.990121456
Tlahuac_12	Tlahuac_12	Tlahuac	AM10	12	Torniquete	04/05/16	12:40:00 PM	28.5	29	11.4	0	11.533	25	2243	Terminal	Ferreo	Oruga	Elevada	Sur	C1	20	19.2892	-99.0146	2997741	11069	16534.94715	6.757451125	0.991983063
Buenavista_B	Buenavista_B	Buenavista	AM11	11(B)	Torniquete	2028-04-16	01:04:00 PM	31.3	27	5.38	12.68	4.185	22	2234	Terminal	Neumatico	Independiente	Cajon_subterraneo	Norte	C1	21	19.44676	-99.15219	4866765	8951	13604.96701	6.110651328	0.983076168
Constitucion_de_1917_8	Constitucion_de_1917_8	Constitucion_de_1917	AM12	8	Torniquete	03/05/16	01:10:00 PM	32.1	34	14.301	5.073	0	19	2244	Terminal	Neumatico	Independiente	Elevada	Oriente	C1	19	19.3444	-99.06317	7934733	15486	23052.13549	7.099527927	0.992330019
Pantitlan_A	Pantitlan_A	Pantitlan	AM14	10(A)	Torniquete	03/05/16	11:25:00 AM	26.9	41	2.041	15.151	0	17	2237	Terminal	Ferreo	Oruga	Cajon_subterraneo	Oriente	B1	10	19.41615	-99.0743	10023285	4016	6100.175926	5.074410731	0.964860107
Ciudad_Azteca_B	Ciudad_Azteca_B	Ciudad_Azteca	AM15	11(B)	Torniquete	02/05/16	12:43:00 PM	30.8	26	5.38	12.68	4.185	22	2238	Terminal_correspondencia	Neumatico	Independiente	Elevada	Oriente	B1	21	19.5348	-99.02685	5604284	14683	21531.2137	7.348566737	0.995317554
Martin_Carera_6	Martin_Carera_6	Martin_Carera	AM16	6	Torniquete	02/05/16	01:46:00 PM	30.2	26	11.858	0	0	13	2240	Terminal_correspondencia	Neumatico	Independiente	Cajon_subterraneo	Norte	C1	11	19.4852	-99.10378	2308196	14164	19905.84495	7.36192237	0.995996615
Tacuba_2	Tacuba_2	Tacuba	AM18	2	Torniquete	2029-04-16	12:05:00 PM	29.6	29	12.55	9.456	0	22	2256	Correspondecia	Neumatico	Oruga	Cajon_subterraneo	Norte	C1	24	19.45954	-99.18796	3166159	13648	20406.59009	7.303358393	0.995068699
M_Muzquiz_B	M_Muzquiz_B	M_Muzquiz	AM19	11(B)	Torniquete	02/05/16	12:30:00 PM	30.8	28	5.38	12.68	4.185	22	2240	Paso	Neumatico	Independiente	Elevada	Oriente	B1	21	19.50148	-99.04152	2990086	15537	21636.19068	7.306974338	0.994366708
San_Juan_de_Letran_8	San_Juan_de_Letran_8	San_Juan_de_Letran	AM20	8	Torniquete	2028-04-16	01:26:00 PM	30.6	27	14.301	5.073	0	19	2232	Paso	Neumatico	Independiente	Cajon_subterraneo	Centro	C1	19	19.43208	-99.14043	2636193	15301	22159.67469	7.06915198	0.989358687
