	AM01	AM02	AM03	AM04	AM05	AM06	AM07	AM08	AM09	AM10	AM11	AM12	AM13	AM14	AM15	AM16	AM17	AM18	AM19	AM20	AM21	AM22	AM23	AM24	AM26	AM27	AM28	AM29	AM30	AM31	AM32	AM33	AM34	AM35	AM36	AM37	AM38	AM39	AM40	AM41	AM42	AM43	AM44	AM45	AM46	AM47	AM48
ASV_1	10459	8198	6740	5339	114	15981	9607	4123	5860	4780	12440	11617	2646	8770	6510	5979	17076	7768	6490	19628	7028	6605	816	11358	4680	21299	29900	12595	7805	12820	14506	18162	14456	23445	30015	22725	17156	9224	20148	15588	15573	7217	43753	19733	13121	35807	19170
ASV_2	2232	6735	3194	2244	69	3268	3663	1786	2574	3542	3531	5438	1148	16184	2903	1877	2646	1477	3775	3071	3721	978	1399	3211	9691	3422	1155	2526	3002	4790	2393	8736	2843	1242	3420	3019	1598	1476	3016	3018	1699	764	1450	3853	2261	1191	2595
ASV_3	997	1372	3194	0	0	0	0	462	0	0	336	2134	58	0	0	369	1043	889	3076	808	2407	41993	169	1250	0	4682	1033	0	401	1801	12929	0	4268	593	1131	2498	1699	487	389	299	3555	1510	477	0	3658	502	0
ASV_4	705	1456	454	1279	115	485	5619	367	2370	786	4360	918	708	4581	2489	902	1659	825	1481	1229	1026	1086	210	953	2149	2453	1467	7205	768	1877	3805	1959	803	2181	9396	2143	1900	1682	3666	1036	2506	474	6183	5043	737	2413	2674
ASV_5	1752	1938	1800	1050	31	7149	1617	1268	1337	2806	1764	2239	849	1183	1974	778	1444	1635	1618	2850	1244	1600	140	2364	2584	3166	4062	2833	860	5244	3192	1883	3424	2531	1857	3906	2308	2826	639	1106	1322	685	1740	2532	2583	690	4561
ASV_6	1053	2408	672	3084	72	1809	3995	675	7260	1097	3499	1760	1042	5679	3693	1214	1023	1183	1391	683	1797	660	253	958	1411	3224	1408	1866	775	3275	1806	2008	2628	1126	4541	1819	935	3187	1961	1231	791	430	983	5016	1659	305	1469
ASV_7	387	398	11803	367	0	4913	547	1054	82	1776	0	134	12216	312	359	517	1048	3228	1953	956	1115	0	290	684	4372	0	3648	1492	241	118	1332	62	3636	963	236	9283	0	51	76	318	161	0	0	298	5243	259	406
ASV_8	294	412	214	519	0	210	827	11882	249	848	11807	1971	1974	106	242	159	254	102	535	116	3175	2031	441	876	0	423	140	200	53	288	160	456	225	5890	298	385	2609	76	95	61	88	63	62	436	149	96	461
ASV_9	2002	1948	593	748	0	635	1795	1003	2452	2294	2691	4442	1042	1689	1169	1955	990	659	1656	539	2414	844	294	1710	820	1103	732	2109	195	724	719	300	1143	469	2585	382	710	428	687	185	422	146	187	400	389	108	769
ASV_10	349	741	304	1551	0	295	1426	705	534	572	2261	708	391	2037	1226	259	746	605	686	345	724	0	0	542	911	4642	1022	2537	364	1239	1286	1019	1888	1157	3962	1201	812	629	1686	1538	447	603	2005	3182	405	818	894
ASV_11	619	3736	1836	672	67	821	1090	957	1094	827	1972	1259	523	1555	1098	638	1065	790	2723	1116	1202	1700	1052	1002	2112	1558	463	995	570	1105	1039	541	818	744	759	760	383	290	2297	553	368	190	654	1694	607	216	446
ASV_12	799	1815	1558	255	0	1930	917	655	570	1470	1188	1794	992	926	1539	1275	1291	949	1508	1545	610	831	121	858	971	1267	702	864	395	1653	1329	1942	3371	1065	948	652	731	1890	385	482	509	181	233	798	283	249	799
ASV_13	213	714	253	633	36	250	946	136	1002	256	1172	375	170	15776	547	306	239	333	485	366	1165	12	294	467	362	1053	98	460	274	1126	510	852	262	179	748	195	135	280	564	1195	368	83	260	1234	102	114	154
ASV_14	312	356	1010	0	0	0	0	136	0	0	76	604	0	0	0	108	393	281	970	240	581	13147	43	386	0	1215	441	0	132	523	5566	0	1158	250	235	1039	556	188	98	78	1280	538	147	0	1392	154	0
ASV_15	348	438	1114	0	0	0	0	148	0	0	135	693	0	0	0	104	326	319	922	241	947	11202	52	385	0	1486	360	0	98	595	4934	0	1355	173	403	879	604	168	137	118	1306	524	160	0	1340	201	0
ASV_16	0	57	0	0	0	0	0	0	0	47	0	252	27	0	69	85	0	78	59	0	75	0	30963	0	0	54	0	0	56	0	69	0	0	0	0	0	42	0	0	0	0	0	0	87	0	0	0
ASV_17	561	2813	2039	291	16	486	842	451	410	820	247	879	3544	238	796	593	748	547	2074	819	299	681	108	373	816	706	298	435	115	424	584	340	423	481	156	270	476	486	161	244	244	223	253	184	279	116	335
ASV_18	384	950	913	1202	7	613	614	107	339	2323	537	986	769	981	263	286	369	410	424	269	980	764	167	446	943	1110	273	1101	265	813	1557	266	536	282	1243	431	465	197	221	128	191	271	251	1080	241	101	1211
ASV_19	749	1071	761	846	64	701	1741	389	744	1012	838	743	788	676	973	538	615	928	777	569	1115	458	524	568	579	618	100	207	116	580	1710	228	417	291	649	351	382	541	216	177	227	176	112	508	251	101	298
ASV_20	350	517	344	2433	0	510	1807	277	797	772	989	1087	1639	250	576	1806	344	942	638	520	3168	0	1140	1018	290	474	54	536	90	539	435	168	164	206	253	167	158	0	202	65	107	117	157	159	130	49	100
ASV_21	367	693	470	959	0	1201	2444	150	614	1140	1143	845	1835	363	749	715	595	693	1092	418	1382	107	202	554	171	882	67	833	76	259	356	324	230	208	384	163	198	65	239	133	138	455	129	173	249	69	240
ASV_22	174	595	133	408	37	246	1040	104	479	460	709	560	89	2422	326	479	236	221	344	301	652	0	304	442	5880	594	224	531	130	591	384	2870	88	69	463	131	168	31	175	205	123	322	222	358	0	0	114
ASV_23	373	885	390	285	47	430	1051	569	1479	1928	1163	885	673	662	531	554	361	428	635	207	357	204	92	608	283	442	88	647	59	286	483	230	576	274	1033	234	1285	498	358	140	104	133	108	547	174	67	221
ASV_24	388	293	273	176	0	532	335	168	222	182	456	459	0	341	179	221	682	255	237	735	222	243	0	407	169	762	1091	438	300	473	534	602	516	943	1071	849	628	319	769	530	503	286	1630	751	418	1252	616
ASV_25	0	6266	215	0	0	1409	191	101	0	0	352	0	478	2027	546	121	110	1982	495	1058	2801	0	46	2555	126	50	0	191	0	111	67	660	110	0	0	0	50	0	0	0	53	19	0	0	0	0	0
ASV_26	704	616	667	235	0	280	381	571	206	1099	227	542	1493	84	579	620	425	586	731	554	349	1820	107	548	976	811	165	811	248	412	440	467	432	233	152	234	616	541	129	295	222	459	80	171	632	67	145
ASV_27	134	2640	1248	1074	8	160	425	82	143	483	236	232	266	65	390	87	204	264	302	218	4399	1753	1132	274	132	957	90	105	29	51	248	241	89	125	190	107	144	74	227	71	103	713	115	223	75	47	186
ASV_28	187	484	205	856	34	303	1528	235	855	361	907	242	248	1352	407	659	102	348	230	75	1514	22	322	119	358	225	23	310	85	120	672	182	110	127	2041	153	172	301	327	122	135	105	90	1340	107	0	0
ASV_29	193	480	165	167	49	91	615	152	2445	294	798	510	135	833	586	552	199	445	263	207	732	0	103	212	358	863	128	592	69	842	242	364	326	253	1223	102	118	345	297	156	137	82	30	971	272	101	346
ASV_30	197	788	541	834	0	453	721	48	307	1419	307	532	547	644	229	231	195	240	241	108	1465	0	102	186	496	825	148	452	80	448	603	246	250	145	1135	234	221	135	180	59	152	172	145	626	215	50	708
ASV_31	19	0	0	56	0	0	0	13	0	164	0	15	0	28	110	0	15	35	44	48	0	0	0	438	103	838	260	159	14	40	0	0	0	41	0	0	0	121	0	0	0	15126	0	0	0	28	0
ASV_32	371	487	221	524	0	371	910	240	590	447	496	376	462	314	590	417	229	320	308	151	502	0	245	365	102	372	44	394	1266	193	210	42	663	168	1289	189	288	1130	311	179	154	141	112	352	162	82	150
ASV_33	191	524	317	167	0	581	226	102	192	436	300	218	205	1388	601	187	298	112	401	377	320	522	240	205	298	227	135	282	292	1645	325	849	280	156	157	403	127	98	187	116	346	126	229	256	217	256	421
ASV_34	0	322	97	326	0	154	681	74	349	422	676	432	0	2954	431	173	141	201	251	224	1476	0	130	473	416	556	0	295	87	629	499	228	160	0	338	442	128	0	193	0	87	119	488	253	324	103	177
ASV_35	174	412	276	572	19	439	1451	109	650	599	606	504	700	790	529	570	214	516	487	211	791	0	258	456	309	482	35	499	114	305	275	241	80	69	261	143	113	50	173	138	60	72	90	202	71	50	73
ASV_36	353	144	134	500	5	328	1080	313	1740	240	170	500	242	242	595	482	176	435	281	214	909	1063	396	338	402	247	103	200	74	130	258	275	203	105	122	175	270	146	69	94	168	83	196	289	151	27	176
ASV_37	668	236	303	88	26	273	194	285	132	1692	122	262	823	61	409	139	338	358	246	318	430	777	118	456	175	267	504	370	114	381	367	206	728	139	100	489	138	227	106	186	148	312	102	136	199	331	187
ASV_38	271	542	268	223	0	253	295	123	270	478	895	243	138	3765	200	92	172	194	428	401	159	0	328	160	262	292	68	237	361	185	168	293	0	180	114	354	100	35	326	108	41	54	84	1417	0	0	57
ASV_39	311	230	321	85	0	291	121	599	0	405	310	171	187	0	228	1677	876	393	309	484	207	0	249	525	34	176	147	70	119	193	272	2917	137	223	0	562	152	56	77	271	416	154	187	94	118	182	0
ASV_40	327	300	336	88	0	394	184	225	355	495	264	562	169	163	314	295	231	183	383	316	121	1003	0	403	414	263	593	440	163	283	510	245	184	162	939	455	219	376	80	119	155	116	229	302	216	71	510
ASV_41	272	617	352	249	0	527	336	214	235	431	281	519	113	938	213	122	222	110	402	290	261	731	144	349	411	346	135	400	168	316	301	696	340	146	213	621	180	154	188	230	288	80	63	413	143	108	221
ASV_42	180	595	554	47	0	426	141	230	129	647	264	255	153	253	220	187	295	140	290	399	286	792	135	430	508	319	186	249	388	541	1080	463	219	172	88	302	186	118	179	226	246	198	171	317	246	183	302
ASV_43	136	515	259	114	0	349	150	129	163	196	264	238	156	953	434	220	215	113	213	204	192	0	85	146	232	291	181	72	413	2042	193	386	291	202	342	173	92	54	145	855	270	134	194	131	228	482	279
ASV_44	107	417	247	190	0	426	245	94	235	522	253	164	417	1059	783	231	143	173	234	130	170	0	92	255	112	286	134	127	275	1374	217	755	287	115	340	166	70	126	111	699	436	230	126	120	185	72	115
ASV_45	0	0	275	176	0	380	0	0	0	1259	0	142	5223	0	56	78	0	0	347	150	323	0	0	132	1111	0	704	65	0	369	0	0	903	0	52	0	0	0	67	0	0	127	97	0	967	0	0
ASV_46	101	311	334	55	0	162	108	249	252	918	194	276	271	52	454	87	344	586	297	331	131	232	83	250	225	520	201	393	70	228	677	200	446	297	114	208	206	132	56	127	130	67	92	180	132	287	1182
ASV_47	0	245	0	114	0	232	2057	137	859	0	829	331	73	124	1270	1219	156	0	0	0	274	0	103	201	0	0	45	794	60	360	317	61	268	261	850	0	28	113	114	297	122	0	0	274	0	0	0
ASV_48	43	130	36	86	21	73	57	20	5944	97	285	276	53	95	228	93	53	96	83	43	663	0	10	30	2	210	79	351	0	271	719	0	293	123	249	60	110	153	139	57	260	28	165	76	81	8	222
ASV_49	546	151	281	31	0	161	184	267	91	1246	81	251	770	0	392	83	422	372	292	379	513	189	65	342	189	319	327	378	122	270	272	228	506	149	122	230	151	131	127	115	188	246	79	134	215	338	155
ASV_50	0	381	0	414	0	170	299	93	352	0	395	458	453	1123	243	144	103	0	0	50	461	0	0	111	461	0	1104	124	141	160	303	156	1364	97	571	0	0	245	532	83	65	171	0	1185	0	0	48
ASV_51	130	643	325	129	0	128	339	71	184	531	205	336	70	622	250	139	183	231	729	244	265	165	86	183	1822	406	167	158	201	530	456	172	87	104	167	181	94	56	176	213	80	41	179	330	88	80	76
ASV_52	101	306	209	68	0	514	186	226	191	480	222	153	141	262	527	116	185	206	298	237	93	70	9	222	194	515	451	373	104	546	454	505	321	177	374	231	135	346	112	158	169	93	467	161	429	60	340
ASV_53	165	206	152	186	11	470	278	109	334	100	448	334	46	209	335	202	115	243	117	218	191	0	47	150	91	411	153	248	214	346	151	199	382	183	775	242	208	203	654	179	161	87	279	636	221	53	426
ASV_54	724	466	195	305	0	170	1702	50	300	447	318	436	319	161	199	1152	94	209	96	107	736	193	125	68	119	288	0	108	70	134	305	91	117	51	389	59	68	100	132	0	48	0	60	33	99	50	102
ASV_55	152	527	276	307	0	169	405	40	114	965	144	378	419	272	108	131	136	163	355	135	415	0	74	113	509	562	124	453	83	223	786	159	151	158	362	232	162	80	99	47	113	129	89	278	109	64	223
ASV_56	87	263	84	1144	0	122	462	103	430	143	1795	365	25	477	228	141	475	115	114	218	435	0	20	220	460	532	44	125	0	78	224	92	76	70	464	22	522	28	122	34	130	32	0	243	0	21	59
ASV_57	56	328	143	327	30	36	266	166	1847	106	370	558	101	557	246	338	159	170	286	111	627	0	59	211	122	318	55	162	57	94	113	145	57	91	665	107	92	174	412	150	83	13	0	360	0	63	210
ASV_58	112	176	223	20	0	556	35	78	44	149	83	155	33	0	135	61	113	132	133	338	36	793	0	124	170	321	514	153	176	246	410	149	521	390	126	557	192	187	71	385	262	97	500	369	310	61	591
ASV_59	87	203	162	54	0	151	80	87	103	199	86	137	117	0	100	26	575	82	192	206	87	0	36	4746	118	26	117	41	18	608	295	61	42	40	25	267	58	51	24	64	133	51	31	283	32	71	155
ASV_60	106	397	141	262	0	245	1156	63	388	329	555	297	445	250	254	223	162	198	375	85	820	0	421	199	44	84	0	519	236	284	113	168	67	38	189	37	52	0	208	74	68	110	0	64	198	0	119
ASV_61	158	448	235	0	0	73	895	233	322	255	452	230	275	106	361	0	76	190	524	142	442	0	129	166	172	319	112	65	60	265	748	76	128	156	221	390	122	95	101	181	624	61	56	69	71	65	60
ASV_62	139	443	281	88	0	240	160	116	83	322	146	369	190	339	186	129	133	114	301	292	248	0	43	205	756	120	123	161	452	408	420	593	140	138	113	295	134	83	100	116	101	94	188	203	151	98	56
ASV_63	88	341	163	122	0	313	256	56	167	232	259	451	94	258	196	186	167	135	226	273	469	12	59	234	966	231	102	176	360	482	237	388	101	61	144	121	110	35	184	79	126	49	97	200	99	77	107
ASV_64	96	61	29	4724	0	214	174	49	34	599	111	84	142	147	197	131	46	199	142	0	192	0	266	42	0	105	36	33	0	195	57	38	0	43	154	33	0	29	320	0	0	21	78	57	0	16	143
ASV_65	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	91	0	0	0	0	0	0	0	0	0	0	0	18	0
ASV_66	63	214	97	345	0	90	900	31	559	292	314	419	639	362	233	363	86	238	264	70	704	0	243	125	71	263	31	133	0	96	130	92	40	60	277	27	26	36	206	62	18	44	33	52	108	33	0
ASV_67	73	173	43	780	0	93	1127	77	418	51	268	118	274	416	91	309	104	353	301	172	1255	0	520	103	0	105	0	169	27	53	0	126	17	66	392	16	0	0	51	32	21	25	21	105	0	11	0
ASV_68	24	1582	788	128	0	60	332	44	130	48	64	282	571	44	46	296	48	24	72	28	71	0	36	0	26	1712	0	24	0	266	0	85	103	18	36	57	20	164	20	138	192	21	443	46	105	28	23
ASV_69	36	159	82	879	0	732	396	143	321	0	345	156	94	148	262	182	203	245	241	178	553	0	1045	153	85	140	0	341	0	98	231	54	95	39	131	68	41	0	96	30	0	0	0	42	57	0	140
ASV_70	148	329	0	98	0	307	212	141	183	0	196	207	133	760	156	173	111	161	155	118	163	0	55	193	131	182	0	127	284	877	200	421	67	30	203	403	0	69	71	148	228	82	0	263	175	0	207
ASV_71	191	324	399	121	0	188	156	149	174	210	229	269	227	149	253	171	175	102	228	203	165	317	0	180	275	378	155	235	59	117	462	369	123	131	172	165	107	107	74	61	105	75	0	135	67	40	93
ASV_72	130	188	99	53	0	178	150	27	111	2968	60	166	107	59	394	103	140	513	166	81	203	343	85	70	0	225	20	87	105	0	22	102	54	159	133	0	59	176	62	39	19	29	55	118	64	0	0
ASV_73	61	284	95	77	0	78	263	27	151	126	448	99	34	2317	130	132	111	43	93	121	55	0	262	82	142	156	0	56	73	218	0	714	96	46	223	162	87	28	155	83	55	25	60	250	78	16	95
ASV_74	34	780	102	727	0	193	422	49	434	70	419	94	33	155	81	211	59	218	73	67	478	0	363	311	0	241	0	1159	35	99	108	32	29	18	164	56	26	11	74	6	26	27	25	107	16	18	78
ASV_75	181	130	159	0	0	206	141	93	219	0	197	293	0	0	225	251	192	193	128	249	0	0	0	91	0	298	427	196	195	0	124	183	244	350	202	225	189	278	348	198	207	102	202	324	235	207	0
ASV_76	0	0	90	0	0	0	0	0	309	0	0	0	0	697	0	0	0	171	158	163	0	1553	0	0	0	2661	0	0	0	179	0	0	0	0	772	218	0	0	0	0	0	0	0	0	0	0	697
ASV_77	49	170	88	129	0	85	223	0	349	42	477	296	33	739	137	434	124	83	62	163	298	0	36	168	153	278	60	169	29	322	83	204	46	100	72	184	262	102	115	67	329	74	107	477	140	54	39
ASV_78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7508
ASV_79	105	99	0	80	0	0	1091	0	414	49	515	149	101	245	326	1273	65	209	57	40	204	0	0	44	0	178	68	196	0	117	88	65	162	409	0	34	40	318	116	59	96	0	61	242	40	0	87
ASV_80	142	131	167	55	0	136	95	193	115	715	50	159	230	38	169	83	147	226	153	143	187	9	42	251	131	166	180	222	81	264	201	115	432	74	162	407	80	152	61	92	80	112	75	103	53	280	245
ASV_81	79	238	243	62	23	286	81	82	168	199	169	168	10	169	203	122	231	98	168	278	72	271	78	229	522	225	73	76	197	368	128	204	90	62	163	168	76	72	122	211	166	20	115	109	307	116	52
ASV_82	153	125	176	33	0	152	37	138	44	1307	54	181	176	152	96	83	123	50	146	240	145	284	85	222	203	46	104	94	196	95	125	482	169	169	46	196	146	30	37	115	243	101	115	21	101	65	205
ASV_83	21	65	55	108	0	68	65	23	47	382	31	86	61	0	45	16	30	136	64	26	19	450	58	26	167	23	0	50	0	52	0	27	0	10	19	36	63	16	10	0	7	4739	65	84	22	7	0
ASV_84	322	88	167	28	0	101	128	130	44	1027	46	139	461	28	222	46	192	158	169	150	296	145	31	147	156	147	223	205	101	85	128	115	297	69	78	207	61	90	84	55	122	158	55	42	83	294	69
ASV_85	87	438	132	229	0	0	356	106	441	66	476	175	90	291	282	267	116	98	173	39	103	0	54	75	684	101	46	130	29	33	416	56	54	45	306	33	0	219	58	45	133	50	0	195	79	0	0
ASV_86	92	206	176	0	0	100	541	229	263	194	391	159	199	57	251	0	92	139	201	97	371	0	144	189	172	170	0	32	0	183	633	109	165	156	129	185	80	64	71	93	154	74	41	68	0	0	34
ASV_87	55	123	45	68	0	103	110	49	115	212	251	186	230	396	146	66	123	0	103	0	376	548	0	50	212	120	633	0	91	119	85	202	740	33	237	51	38	165	229	46	61	38	0	103	0	0	0
ASV_88	144	291	246	115	0	135	108	104	146	156	87	160	742	50	173	123	226	171	223	252	99	0	0	186	68	221	51	120	89	39	268	170	92	124	103	49	90	105	135	155	114	188	61	98	192	0	70
ASV_89	122	106	149	98	0	79	228	95	217	167	133	289	31	178	162	113	113	119	126	129	118	0	123	201	209	104	138	62	227	389	167	285	119	66	193	169	103	43	128	122	187	0	121	217	93	111	88
ASV_90	108	231	216	100	0	199	170	84	60	176	175	228	22	207	170	146	60	79	502	94	0	0	36	153	678	147	85	119	176	210	183	53	74	102	71	147	105	183	57	0	119	0	77	507	40	0	81
ASV_91	55	0	46	13	0	22	0	73	31	70	0	23	8	0	66	29	69	38	112	97	19	0	69	48	0	0	0	66	0	87	18	35	29	0	0	64	34	31	0	21	37	0	27	30	51	4901	45
ASV_92	34	189	74	81	0	0	103	100	154	265	96	127	92	119	192	81	109	146	299	46	106	0	0	111	0	71	50	163	37	145	107	0	78	149	1409	79	152	69	93	155	223	91	68	262	250	0	59
ASV_93	0	59	34	375	0	0	142	0	78	184	118	87	113	0	128	0	0	77	115	62	228	0	135	48	209	90	0	0	123	115	0	31	52	0	0	0	0	0	3235	17	19	0	0	180	80	0	79
ASV_94	0	0	0	0	0	0	0	0	0	0	177	241	0	0	215	174	201	0	0	316	0	0	0	208	0	222	0	0	297	267	0	328	0	220	0	339	398	206	0	363	304	0	671	495	0	552	0
ASV_95	272	67	61	589	0	147	126	103	67	177	70	131	159	75	133	557	114	218	250	146	102	0	185	443	278	234	99	167	23	79	71	42	49	216	41	122	57	100	34	53	38	38	68	29	36	40	50
ASV_96	164	135	135	82	0	113	64	74	129	136	96	312	1905	38	109	131	182	86	220	251	184	0	26	43	96	199	0	27	37	280	24	34	122	55	47	68	97	76	65	35	33	55	0	50	95	14	0
ASV_97	140	236	127	206	21	91	241	51	320	116	192	108	163	141	504	177	73	192	162	68	228	348	139	56	0	162	0	98	622	87	26	42	24	64	179	102	71	65	50	52	66	33	0	0	26	29	174
ASV_98	56	301	239	105	0	51	41	92	69	322	91	156	0	214	132	92	66	78	532	159	72	218	42	102	466	96	27	102	58	159	335	82	116	56	51	185	70	80	225	34	57	0	52	217	44	56	73
ASV_99	115	194	43	536	0	0	204	75	112	248	115	247	129	56	175	557	64	42	103	47	320	0	183	0	84	102	98	244	53	108	137	54	195	44	485	100	54	89	116	33	45	67	58	0	54	0	56
ASV_100	180	525	241	35	0	130	141	115	56	119	131	278	66	280	116	37	84	25	132	71	0	0	68	65	345	123	58	156	61	80	520	287	107	81	75	103	17	169	117	153	70	23	29	112	39	31	0
ASV_101	82	224	91	148	0	85	454	29	145	99	164	52	87	106	45	147	82	2101	184	48	214	0	61	62	55	53	17	267	69	58	24	26	0	17	107	12	22	10	33	0	47	31	18	24	0	12	0
ASV_102	178	227	94	135	0	0	156	60	0	110	171	220	0	0	150	151	166	155	165	105	0	214	145	223	133	126	0	243	271	326	152	214	159	0	0	110	71	0	59	300	171	0	0	268	0	0	122
ASV_103	186	96	118	32	0	124	63	99	58	303	65	133	270	0	177	78	248	136	197	156	111	0	96	141	71	83	215	144	73	82	243	91	128	107	122	197	97	111	101	82	102	96	106	51	68	157	72
ASV_104	73	35	0	0	0	30	59	41	37	50	17	0	0	69	526	76	36	94	59	88	264	840	0	96	38	136	0	115	35	144	74	85	34	122	108	285	32	0	36	0	301	122	68	224	5	38	930
ASV_105	139	191	262	27	0	91	98	106	50	425	36	95	251	15	130	58	141	148	144	172	151	206	33	112	63	143	153	89	83	100	151	168	260	50	62	91	33	81	75	52	46	81	46	53	68	172	65
ASV_106	202	69	90	27	0	101	38	77	45	214	36	120	121	0	225	76	189	138	165	182	52	364	59	73	71	106	113	67	40	57	305	85	311	102	25	123	58	56	215	42	86	161	305	46	128	58	42
ASV_107	0	108	83	101	0	118	146	32	172	0	88	387	57	0	85	68	228	181	0	0	0	490	16	80	43	0	217	194	66	131	38	0	132	650	87	180	108	79	88	197	0	199	50	87	80	93	79
ASV_108	47	102	0	80	0	0	108	81	203	0	0	81	99	0	500	0	135	0	0	0	78	0	0	393	0	225	114	0	0	1279	53	76	261	0	118	189	0	107	132	0	312	67	0	0	202	92	69
ASV_109	56	244	270	48	0	71	49	78	0	70	75	149	90	19	112	72	126	41	95	96	35	524	32	75	0	116	94	126	0	0	1179	570	115	122	0	0	36	65	0	149	0	60	45	77	0	0	0
ASV_110	229	91	84	69	0	207	232	0	97	663	84	254	667	17	101	226	95	138	155	108	118	0	33	123	20	180	39	91	32	0	248	0	65	40	37	84	72	0	62	32	22	45	15	0	118	24	66
ASV_111	82	217	148	0	0	120	157	63	0	121	136	223	0	609	121	67	110	0	116	110	106	0	53	126	374	132	43	97	108	166	75	314	100	49	144	121	47	47	110	121	56	0	55	127	68	0	0
ASV_112	76	98	84	12	0	282	67	64	49	471	93	156	111	174	156	139	80	29	65	176	65	0	69	127	163	106	28	76	116	163	39	406	87	114	142	79	37	80	57	51	143	107	19	39	63	196	22
ASV_113	156	119	141	34	0	60	97	125	30	431	36	66	311	0	171	46	167	158	111	86	159	178	40	115	53	177	119	66	76	173	82	115	268	71	45	158	30	63	40	65	95	75	33	39	55	186	54
ASV_114	0	80	0	235	0	109	424	60	74	0	188	76	478	199	52	30	30	45	61	33	52	0	71	90	42	664	587	35	0	204	0	83	49	40	183	54	40	118	25	165	140	26	0	29	100	0	0
ASV_115	92	148	0	469	0	24	340	23	405	0	447	160	79	58	143	227	132	69	105	41	155	0	261	197	137	0	146	134	0	106	46	27	41	42	357	45	53	41	102	0	28	0	0	52	0	34	0
ASV_116	123	265	172	79	0	380	156	67	219	122	221	67	133	255	234	138	76	27	130	59	132	0	138	57	0	65	67	113	119	188	55	276	53	69	58	0	0	0	134	113	0	90	98	64	0	0	139
ASV_117	51	203	194	49	0	173	68	227	42	120	64	77	330	28	213	28	78	435	147	58	49	0	23	111	47	216	29	98	80	231	120	176	106	144	57	315	0	60	130	20	109	43	46	53	0	65	36
ASV_118	0	61	21	0	0	56	121	29	140	306	60	37	109	117	62	0	46	149	147	0	0	0	39	142	0	60	0	1024	0	0	21	32	89	0	225	0	83	0	47	15	0	0	0	69	22	0	1619
ASV_119	39	0	827	79	0	291	85	58	0	168	0	49	503	0	0	74	116	205	139	84	105	0	49	0	359	0	209	97	23	31	107	0	212	53	29	478	0	9	46	25	0	22	0	19	301	9	27
ASV_120	61	150	45	56	68	0	65	23	154	26	109	40	140	95	219	116	90	159	82	82	162	0	49	53	49	144	16	91	55	625	132	79	184	57	61	94	40	0	61	574	175	18	91	228	0	21	46
ASV_121	36	47	156	0	0	0	0	19	0	0	0	66	0	0	0	0	67	51	77	43	85	2106	0	36	0	106	53	0	27	80	797	0	132	23	28	130	75	26	17	11	238	86	25	0	213	21	0
ASV_122	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	4680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37
ASV_123	93	616	182	312	0	124	341	37	224	0	216	177	86	100	210	114	88	76	119	67	286	0	274	55	77	0	22	129	15	0	55	121	47	44	130	39	19	32	97	44	0	12	10	41	38	26	9
ASV_124	0	10	0	0	0	0	0	10	0	0	0	0	0	0	13	0	0	59	0	64	0	4110	156	0	0	0	0	0	0	128	0	37	0	0	0	190	15	0	0	0	0	0	0	0	0	0	0
ASV_125	0	97	8	44	0	0	0	0	87	52	3320	25	9	243	70	54	0	24	0	7	39	0	84	104	0	110	0	0	0	0	0	63	0	17	0	24	17	15	23	20	22	0	64	40	34	0	0
ASV_126	0	140	0	0	0	109	0	140	0	265	158	1199	89	0	228	196	80	0	0	96	147	0	0	124	76	117	45	70	35	350	80	47	380	74	0	0	112	107	73	44	0	0	0	0	55	0	64
ASV_127	47	140	78	52	0	0	124	46	80	73	148	144	0	263	151	189	103	84	353	106	66	0	53	144	437	181	96	83	111	199	127	180	107	53	0	92	57	0	149	41	0	0	67	211	0	29	0
ASV_128	46	286	235	30	0	272	87	21	26	277	114	188	23	146	42	537	50	24	30	53	80	301	16	61	116	55	27	103	94	99	123	254	39	82	55	107	80	76	40	0	95	0	0	78	87	80	0
ASV_129	45	1768	1499	0	0	0	0	19	0	128	62	56	30	0	94	0	20	58	18	131	27	0	58	94	0	70	43	29	0	33	0	84	0	0	33	45	0	0	0	0	0	0	0	0	29	0	32
ASV_130	0	0	52	0	6	203	162	0	273	78	129	191	105	0	176	75	103	72	96	0	69	545	0	69	102	168	155	82	0	107	71	102	89	45	130	97	170	0	100	28	41	0	0	110	109	35	345
ASV_131	73	390	304	120	0	44	117	46	77	15	159	101	102	114	160	66	102	30	135	205	79	0	87	64	2	134	48	108	80	182	0	125	60	38	67	75	94	43	72	60	46	222	45	136	119	27	91
ASV_132	0	92	33	61	0	40	150	0	164	95	127	258	0	87	63	88	43	60	71	0	1769	0	0	0	40	143	48	150	0	63	100	223	41	42	244	31	0	32	0	54	52	0	0	0	0	0	0
ASV_133	92	173	82	94	0	163	54	26	40	482	159	239	55	0	73	0	69	86	163	113	0	0	55	119	0	183	53	42	0	54	35	80	51	62	58	101	52	37	0	34	20	879	151	0	73	19	140
